"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","806","Verify adding 'Sauce Labs Bike Light' to cart reflects correct details","","Tue Aug 12 05:35:23 IST 2025","passed","Tue Aug 12 05:35:24 IST 2025","SauceDemo Cart UI↔DB Validation","tests/products.cart.spec.ts","",""
"","788","Verify product details match DB for Sauce Labs Fleece Jacket","","Tue Aug 12 05:35:25 IST 2025","passed","Tue Aug 12 05:35:26 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
"","1128","Verify product count in UI matches DB","","Tue Aug 12 05:35:22 IST 2025","passed","Tue Aug 12 05:35:23 IST 2025","","tests/products.count.spec.ts","",""
"","753","Verify product details match DB for Sauce Labs Bolt T-Shirt","","Tue Aug 12 05:35:24 IST 2025","passed","Tue Aug 12 05:35:25 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
"","799","TC01: Verify all products are displayed after login","","Tue Aug 12 05:35:23 IST 2025","passed","Tue Aug 12 05:35:24 IST 2025","SauceDemo Product UI↔DB Validation","tests/products.spec.ts","",""
"","780","Verify product details match DB for Sauce Labs Bike Light","","Tue Aug 12 05:35:23 IST 2025","passed","Tue Aug 12 05:35:24 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
"","1169","Verify all product prices in UI match DB","","Tue Aug 12 05:35:22 IST 2025","passed","Tue Aug 12 05:35:23 IST 2025","","tests/products.prices.spec.ts","",""
"","687","TC02: Verify product details match DB for Sauce Labs Backpack","","Tue Aug 12 05:35:24 IST 2025","passed","Tue Aug 12 05:35:25 IST 2025","SauceDemo Product UI↔DB Validation","tests/products.spec.ts","",""
"","1203","Verify adding 'Sauce Labs Backpack' to cart reflects correct details","","Tue Aug 12 05:35:22 IST 2025","passed","Tue Aug 12 05:35:23 IST 2025","SauceDemo Cart UI↔DB Validation","tests/products.cart.spec.ts","",""
"","770","Verify product details match DB for Test.allTheThings() T-Shirt (Red)","","Tue Aug 12 05:35:27 IST 2025","passed","Tue Aug 12 05:35:27 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
"","1125","Verify product details match DB for Sauce Labs Backpack","","Tue Aug 12 05:35:22 IST 2025","passed","Tue Aug 12 05:35:23 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
"","771","Verify product details match DB for Sauce Labs Onesie","","Tue Aug 12 05:35:26 IST 2025","passed","Tue Aug 12 05:35:27 IST 2025","SauceDemo Product Details UI↔DB Validation","tests/products.details.spec.ts","",""
